Date,Year,Open,High,Low,Close,Volume,Adj Close
30-03-2020,2020,34.01733398,34.44333267,32.74866867,33.47533417,179971500,33.47533417
31-03-2020,2020,33.41666794,36.19733429,33.1333313,34.93333435,266572500,34.93333435
01-04-2020,2020,33.59999847,34.26333237,31.67333221,32.10400009,200298000,32.10400009
02-04-2020,2020,32.06866837,32.95066833,29.76000023,30.29800034,297876000,30.29800034
03-04-2020,2020,33.96666718,34.36600113,31.22599983,32.00066757,338431500,32.00066757
06-04-2020,2020,34.08000183,34.73333359,33.19733429,34.41600037,223527000,34.41600037
07-04-2020,2020,36.33333206,37.66666794,35.48933411,36.36333466,268797000,36.36333466
08-04-2020,2020,36.94666672,37.14733124,35.55533218,36.58933258,189840000,36.58933258
13-04-2020,2020,39.34400177,43.46666718,38.70199966,43.39666748,337131000,43.39666748
14-04-2020,2020,46.59799957,49.45866776,46.16199875,47.32600021,458647500,47.32600021
15-04-2020,2020,49.46666718,50.20866776,47.33333206,48.65533447,353655000,48.65533447
16-04-2020,2020,47.79600143,50.63000107,47.11466599,49.68066788,309868500,49.68066788
17-04-2020,2020,51.48533249,51.66333389,49.84400177,50.25933456,196923000,50.25933456
20-04-2020,2020,48.84666824,51.0379982,47.48066711,49.75733185,221199000,49.75733185
21-04-2020,2020,48.67466736,50.22200012,44.91933441,45.78133392,303136500,45.78133392
22-04-2020,2020,46.93199921,48.93333435,45.91400146,48.8073349,212482500,48.8073349
23-04-2020,2020,48.50666809,48.93333435,46.87533188,47.04199982,198550500,47.04199982
24-04-2020,2020,47.38733292,48.71533203,46.54533386,48.3433342,198180000,48.3433342
27-04-2020,2020,49.17399979,53.29933167,49,53.25,310221000,53.25
28-04-2020,2020,53.04266739,53.66666794,50.44599915,51.27466583,228330000,51.27466583
29-04-2020,2020,52.6780014,53.54666519,52.21066666,53.36733246,243240000,53.36733246
30-04-2020,2020,57.01266861,57.98799896,50.90000153,52.12533188,427078500,52.12533188
01-05-2020,2020,50.33333206,51.51800156,45.5359993,46.75466537,487977000,46.75466537
04-05-2020,2020,46.73333359,50.79999924,46.53333282,50.74599838,288556500,50.74599838
05-05-2020,2020,52.652668,53.26133347,50.81200027,51.2140007,254875500,51.2140007
06-05-2020,2020,51.76666641,52.65333176,50.74066544,52.17200089,166848000,52.17200089
07-05-2020,2020,51.81399918,53.0933342,51.49000168,52.00266647,172915500,52.00266647
08-05-2020,2020,52.91799927,54.93333435,52.46733475,54.62799835,241297500,54.62799835
11-05-2020,2020,52.70066833,54.93333435,52.33333206,54.08599854,247794000,54.08599854
12-05-2020,2020,55.1333313,56.21933365,53.8666687,53.96066666,238603500,53.96066666
13-05-2020,2020,54.72200012,55.06666565,50.88666534,52.73066711,285982500,52.73066711
14-05-2020,2020,52,53.5573349,50.93333435,53.55533218,205233000,53.55533218
15-05-2020,2020,52.68999863,53.66999817,52.4366684,53.27799988,157776000,53.27799988
18-05-2020,2020,55.18533325,55.64799881,53.59199905,54.24200058,174987000,54.24200058
19-05-2020,2020,54.34466553,54.80466843,53.73866653,53.86733246,144547500,53.86733246
20-05-2020,2020,54.70000076,55.06666565,54.11999893,54.3706665,109639500,54.3706665
21-05-2020,2020,54.40000153,55.5,53.06666565,55.17333221,183819000,55.17333221
22-05-2020,2020,54.8113327,55.45199966,54.1333313,54.45866776,149812500,54.45866776
26-05-2020,2020,55.6333313,55.63999939,54.38066864,54.59133148,121345500,54.59133148
27-05-2020,2020,54.72399902,55.18066788,52.33333206,54.68199921,173242500,54.68199921
28-05-2020,2020,54.23400116,54.98333359,53.44599915,53.72066879,108834000,53.72066879
29-05-2020,2020,53.91666794,55.66666794,53.61399841,55.66666794,176467500,55.66666794
01-06-2020,2020,57.20000076,59.93333435,56.93999863,59.87333298,224092500,59.87333298
02-06-2020,2020,59.64666748,60.57733154,58.06666565,58.77066803,203484000,58.77066803
